DRINK,INGREDIENTES,COMO FAZER
Suco de Frutas Gummi,"1 clight de morango (tem que ser clight), 1/2 vodka, 1 litro de água bastante gelo","Só bater tudo no liquidificador, coloca mais gelo se necessário. Fica muito gostoso, parece um frozen, bebeda fácil, fácil."
Palmadinha de Anjo,"1 e 1/2 dose de licor de cacau, 1/2 dose de creme de leite fresco, suco de uma lima, gelo picado","ponha os ingredientes na coqueteleira com gelo picado, agite bem e  sirva em seguida."
Beijo de Anjo,"1/2 dose de licor de cacau, 1/2 dose de licor de ameixas, 1/2 dose de licor de violetas, 1/2 dose de creme de leite fresco","Ponha os ingredientes num cálice alto, cuidadosamente, para que se não misturem e sirva em seguida."
Asas de Anjo,"1/2 dose de licor de violetas, 1/2 dose de xarope de morango, 1/2 dose de marasquino","Ponha os ingredientes num cálice alto de licor, na ordem em foram enumerados, cuidadosamente, para que não se misturem, sirva."
Asas Brancas,"2 doses de gim, 1 dose de licor de menta, gelo picado","Ponha os ingredientes na coqueteleira, com o gelo picado, agite bem e sirva em seguida."
Um Raspão na Lua,"1/2 dose de conhaque, 1/2 dose de licor de pêssego, 1/2 dose de quinquina, 3 gotas de pernod, gelo picado","Ponha os ingredientes na coqueteleira com gelo picado, agite bem e sirva em seguida."
Sonho,"2 doses de conhaque, 1 dose de curaçau, 1 gota de pernod, gelo picado","Ponha os ingredientes na coqueteleira com gelo picado, agite bem e sirva."
Demônio,"1 dose de vinho do porto, 1 dose de vermute seco, 2 gotas de suco de limão, gelo picado.","Ponha todos os ingredientes na coqueteleira com gelo picado, agite bem e sirva logo em seguida."
Terremoto,"1 dose de gim, 1 dose de uísque, 1 dose de pernod (pastis, ou similar)  gelo picado.","Ponha os ingredientes na coqueteleira com gelo picado e agite bem, sirva em seguida."
Bomba H,"1/2 dose de chartreuse amarela, 1/2 dose de chartreuse verde 1/2 dose de conhaque, 1/2 dose de uísque gelo picado.","Ponha os ingredientes na coqueteleira com gelo picado e agite bem, sirva em seguida."
The Devil,"1 dose de conhaque, 1 dose de licor de menta verde, gelo picado, 1 pitadinha de pimenta vermelha","Ponha o conhaque e o licor na coqueteleira com pouco gelo picado, agite bem. Despeje no cálice e por cima ponha a pitadinha de pimenta vermelha, sirva logo."
Chama de Conhaque,"2 doses de conhaque, 1 pedacinho de casca de laranja, 1 pedaço de casca de limão, 1 cubinho de açúcar","Ponha o açúcar no fundo da coqueteleira, junte os outros ingredientes, misture com uma colher de cabo longo. Depois ponha fogo, deixe queimar até o fogo se apagar, sirva em cálice, após o jantar."
Maria Sanguinária,"1 dose de vodka, 2 doses de suco de tomate, 1/2 dose de suco de limão, 1 gota de molho inglês, sal e pimenta a gosto, gelo picado.","ponha todos os ingredientes na coqueteleira, agite bem e sirva em seguida."
Caju Amigo,"1 xícara(chá) de suco de caju, 1 xícara(chá) de gin,  suco de1 limão, açúcar a gosto pedras de gelo.","Bata tudo no liquidificador e sirva bem gelado. Beba em seguida, ou conserve em geladeira, acrescentando o limão apenas na hora de servir."
Caipira de Laranja,"2 colheres (sopa) de açúcar, meio litro de cachaça, meia dúzia de laranjinhas caipira, em fase de crescimento, gelo a vontade.","Pegue uma caneca de alumínio de 1 litro, esprema as 6 laranjas com semente, adicione o açúcar, a cachaça e o gelo. Misture bem em seguida."
Caipirinha de Melão,"1 melão pequeno, 1 copo de Vodka, 1 colher de sopa de limão Açúcar à vontade","Tire a ""tampa"" do melão. Retire as semente e um pouco dele, colocando em uma coqueteleira com o restante e batendo. Coloque dentro do melão e acrescente gelo. Decore. ica: Gostoso também se feito com abacaxi."
Caipirinha Mineiras,"1 limão com casca, 2 doses de pinga, açúcar a gosto gelo.",esmague o limão junto com o açúcar. Junte a pinga e gelo.
Café Irlandês,"1 colher (chá) de açúcar, 1 e 1/2 dose de uísque, 5 doses de café forte bem quente creme de leite.","Escalde um copo de vinho com Água quente. Coloque o açúcar no copo e, em seguida o uísque. Complete com o café, deixando espaço para o creme de leite no copo. Mexa bem e deixe o líquido descansar um pouco. Então, vá adicionando o creme de leite, derramando-o bem devagar com uma colher. É indispensável que o creme de leite flutue na superfície do coquetel, sem se misturar a ele. Sirva em seguida."
Café Flambado,"8 doses de conhaque, 2 colheres (chá) de açúcar, 8 cravos-da-índia, 3 gotas de essência de baunilha, 2 ou 3 paus de canela, casquinhas de laranja e limão cortadas em espiral, 1/2 litro de café bem quente.","Despeje o conhaque numa tigela, de preferência de prata. adicione metade do açúcar, os cravos-da-índia, a baunilha, a canela e as casquinhas de limão e de laranja. Mexa bem. Adicione o café quente. Encharque de conhaque a segunda colher de açúcar e flambe-a. Mergulhe o açúcar em chamas, na tigela, de modo que o fogo se espalhe por toda a superfície do coquetel. Sirva em xícaras."
Café Amaretto,"1/2 dose de licor Amaretto, 1/2 dose (ou mais) de licor de café, 1 xícara de licor bem quente creme de chantilly.",Coloque os licores numa xícara com o café quente e cubra com o creme de chantilly. Sirva imediatamente.
Bourbon Fog,"1 litro de Bourbon, 1 litro de café bem forte gelado, 1 litro de sorvete de baunilha.",Misture bem os ingredientes numa poncheira ou jarra grande e sirva.
Blue Moon,"1/2 dose de curaçau azul, 2 doses de rum, 1 dose de suco de abacaxi, 1 colher (chá) de licor de coco ou leite de coco a gosto.",Agite os ingredientes numa coqueteleira com gelo e coe para um copo de coquetel. Sirva em seguida.
Big Apple,"1 maçã grande e bem vermelha, 3 doses de brandy de maçã, 2 doses de suco de laranja, 1 dose de suco de limão, algumas folhinhas de hortelã, 1 cereja cristalizada, rum a gosto.","Com uma faquinha afiada, corte a tampa de uma maçã e retire as sementes de boa parte da polpa (reserve-a), de modo a abrir espaço para o drinque, mas tomando cuidado para não romper a casca. Deixe a maçã oca no congelador por 15 minutos. Enquanto isso, junte os demais ingredientes líquidos num copo para mexer, e em seguida adicione a polpa da maçã picada e misture bem. Coe para a ""taça"" de maçã e sirva, com canudos e decorado com hortelã e cereja."
Bermudas coquetel,"1 1/2 dose de gim, 1 colher (sopa) de suco de limão, 2 ou 3 gotas de licor de abricó, 2 ou 3 gotas de grenadine.","Agite tudo numa coqueteleira com gelo, e sirva num copo de tamanho médio."
Bellini,"4 partes de suco concentrado de pêssego ou papa de pêssego, 6 partes de Champagne","Coloque o suco de maracujá no fundo de uma taça e acrescente pouco a pouco a champagne. Enquanto coloca a bebida, misture delicadamente."
Aperitivo de Água Mineral,"1 e 1/2 dose de gin seco, 1 e 1/2 dose de vermute branco seco, 1/2 dose de suco de limão, água mineral gasosa, casquinha de pepino.","Coloque o gin, o vermute e o suco numa coqueteleira com gelo e agite bem. Coe para um copo com pedras gelo e complete com a água mineral. Decore com as casquinhas de pepino."
Americanino,"3/4 dose de Campari, 3/4 dose de vermute tinto doce, soda a gosto, 1 fatia de laranja.",Misture tudo num copo cheio de gelo.
Alfonso Especial,"1 e 1/2 dose de licor Grand Marnier, 3/4 dose de gin (seco), 3/4 dose vermute seco, 4 gotas de vermute doce, 1 gota de angustura.",Misture os ingredientes com gelo e coe para um copo de coquetel.
Adonis,"2 doses de sherry seco, 1 dose de vermute doce, 2 gotas de angustura e bitter de laranja.",Mexa os ingredientes com gelo e despeje num copo de coquetel.
Admirável,"1 dose de Bourbon, 2 doses de vermute seco suco de 1/2 limão grande casca de limão(optativo).","Agite os ingredientes na coqueteleira, com gelo. sirva num copo tipo ""alto"" e, se quiser, decore com a casca de limão."
Absinto de Verão,"1 e 1/2 dose de Pernod ou outro anis, 2 ou 3 gotas de licor de Anisete, 2 ou 3 gotas de água de flores de laranjeira, 1 colher (chá) de creme de menta ou peppermint chnapps, 1 clara.", Agite todos os ingredientes na coqueteleira com gelo picado e sirva num copo de coquetel.
Amor perfeito,"1 parte de vodka, 2 partes de rum, 1 colher de açúcar, 1/2limão, Champagne",Bater tudo menos a Champagne no liqüidificador com gelo. Encher os copos até a metade e completar com Champagne.
Batida Suor de Virgem,"1 copo de suco de tangerina, 1/2 copo de pinga, 1/3 de copo deleite condensado.",Bata no liqüidificador com gelo.
Batida de Tomate,"2 doses de pinga, 1 dose de vodka, 1 e ½ copo de suco de tomate, 1 colher (sobremesa) de caldo coado de limão,  gotas de molho Inglês, gotas de molho Tabasco, 1 pitada de sal, 1 pitada de açúcar, pimenta do reino a gosto, gelo.","Misture o suco de tomate com a pinga e a vodka. Tempere com caldo de limão, molho inglês, molho tabasco, sal, açúcar e pimenta. Mexa bem. Despeje em 2 copos e complete com gelo."
Batida de Morango,"1/2 garrafa de vodka, 1 caixinha de morangos maduros, 1colher (sobremesa) de caldo de limão, 2 colheres (sopa) de açúcar."," Limpe os morangos, pique e bata no liquidificador com o açúcar, o caldo de limão e 1/2 copo de água opcional).Despeje numa jarra grande e misture bem com a vodka. O gelo é colocado nos copos."
Batida de Mocotó,"Utilize o que tiver sobrado do caldo coado, resultante dos pézinhos de porco ou boi. Para 5 conchas de caldo, utilize:, 8 doses de pinga, 2 colheres (sopa) caldo coado de limão, 1 colher (café) de caldo de pimenta, sal a gosto","Misture a pinga com o caldo de limão e com o caldo de pimenta. Acrescente o caldo de mocotó fervente. Prove o sal. Sirva em canequinhas e enquanto estão bem quente. Caso contrário, o caldo começará a colar. Sirva com lingüiça frita."
Batida de Milho Verde,"1 litro de leite, 1 lata de leite condensado, 1 copo de rum, 1 dose de gin, 1 lata de milho verde.","Faça um mingau bem ralo de milho batido no liquidificador coado num pano ralo. Depois de coado, coloque o leite condensado e leve ao fogo. Depois de frio, junte o rum e o gin e bata no liquidificador. Leve a geladeira."
Batida Marta Rocha,"1 litro de leite fervido e frio, 1 vidro de leite de coco, 600 gramas de açúcar refinado, 1 1/2 copo de pinga (o tamanho do copo depende de quanto se quer chapar), 1/2 copo de groselha, 1 lata de leite condensado.","Coloque tudo no liqüidificador e bata muito bem."
Batida de Maracujá,"2 doses de pinga, 1 copo de suco de maracujá, 1 colher (sopa) de xarope de groselha, gelo.","Coloque os ingredientes na coqueteleira com 3 pedras de gelo. Bata bem, coe e sirva em seguida."
Batida de Limão,"2 doses de cachaça, 2 doses de Água gelada (opcional), caldo coado de 1 limão grande, 1 colher (sopa) de açúcar, 2 pedacinhos de casca de limão, gelo","Coloque na coqueteleira a cachaça, a Água, o caldo de limão, gelo a gosto e açúcar. Bata bem. Despeje em 2 copos e guarneça com a casquinha de limão, Obs.:o açúcar pode ser substituído por mel."
Batida de Leite de Coco,"1 xícara(chá) de leite de coco, 1 xícara(chá) de leite, açúcar a gosto, 1 xícara(chá) de gin, pedras de gelo.",Coloque tudo no liquidificador e bata bem. Sirva sempre bem gelado.
Batida Delícia,"1 litro de vinho tinto, 1 lata de leite condensado, 1 lata de creme de leite.",Coloque tudo no liquidificador e bata bem. Sirva sempre gelado.
Batida de Coco,"1 garrafa pequena de leite de coco, 6 doses de pinga, 2 doses de água (opcional), 1 colher (sopa) leite condensado, 2 colheres (sopa) de gelo picado.",Coloque todos os ingredientes numa coqueteleira e bata por alguns minutos. Sirva enquanto ainda estiver com espuma
Batida de Café,"1 lata de leite condensado, 2 latas de café forte frio, 1 lata de cachaça","Bater todos os ingredientes no liqüidificador, servir gelado."
Batida Bela Adormecida,"1 copo de geléia de abacaxi, 1 lata de leite condensado, 1 garrafa de guaraná (290 ml), 1 litro de vinho tinto.","Bater no liqüidificador. Depois de bem batido, coloque bastante gelo para servir bem gelado."
Batida de Amendoim,"4 doses de pinga, 2 colheres (sopa) cheias de amendoim torrado e moído bem fino, 2 colheres (sopa) de leite condensado, 1 colher (sopa) cheia de creme de leite, 1 pitada de casca ralada de limão.","Coloque todos os ingredientes no liqüidificador , misture com 3 colheres (sopa) cheias de gelo picado e bata bem. Sirva em seguida."
Batida de Abacaxi,"3 doses de pinga, 1 copo de suco de abacaxi, 1 colher (sopa) de caldo coado de limão,1 colher (chá) açúcar, 2 colheres (sopa) de gelo grosseiramente picado.",Coloque todos os ingredientes numa coqueteleira e bata por alguns minutos. Sirva enquanto ainda estiver com espuma
Pisco Sour," Pisco (destilado peruano),  Suco de limão,  Xarope de açúcar, Clara de ovo, Angostura, Bastante gelo","Coloque os ingredientes na coqueteleira com 3 pedras de gelo. Bata bem, coe e sirva em seguida."
Negroni,"Gelo até a boca, 1 dose de gim, 1 dose de campari, 1 dose de vermute tinto doce, Colocar uma fatia de laranja dentro",
Cosmopolitan,"Encha de gelo, 1 dose de vodka, 1 dose de suco de limão, 1 dose de licor de laranja, 1 dose de suco de cranberry, Misture muito bem, Coloque na taça sem gelo, Torça uma casca de laranja por cima, Passe a casca na borda.","Coloque todos os ingredientes numa coqueteleira e bata por alguns minutos."
Virgin Mary,"1 Colher de Chá de Molho Inglês, 4 gotas de Molho de Pimenta, Meio Limão espremido, 1 pitada de Sal, Mexer, 3 pedras de Gelo, Completar com Suco de Tomate, Mexer novamente, Finalizar com Pimenta Preta, Decorar com: Talo de Salsão, Limão, palito com Queijo, Azeitona e Peperone ","Coloque todos os ingredientes numa coqueteleira e bata por alguns minutos."
Tequila Sunrise,"5 pedras de Gelo, 1 dose e meia de Tequila prata, Completar com Suco de Laranja, Meia dose de Grenadine, Decorar com:, 1 casca de Laranja cortada em Meia Lua","Coloque todos os ingredientes numa coqueteleira e bata por alguns minutos."
French 75,"4 pedras de Gelo, 2 doses de Gin, 1 Limão espremido, 2 colheres de chá de Açúcar, Misturar e Reservar, Numa taça de Espumante, Despejar a bebida, Completar com Espumante, Decorar usando:, 1 pedaço da casca do Limão, 1 Cereja no palito","Coloque todos os ingredientes numa coqueteleira e bata por alguns minutos."
Lemon Drop Martini,"2 doses de vodka, 1 dose de licor de laranja, 1 limão siciliano espremido, Mexer, Em uma taça de martini:, Passar limão e açúcar demerara na borda, Servir o conteúdo do copo mixer, Decorar com:, 1 casca de laranja em espiral, gelo","Coloque todos os ingredientes numa coqueteleira e bata por alguns minutos."
Cranberry Julep,"10 folhas de hortelã amassadas , colher de sopa de açúcar, Encher de gelo, 1 dose de whisky, Completar com suco de Cranberry, Decorar com:, 3 folhas de hortelã","Coloque todos os ingredientes numa coqueteleira e bata por alguns minutos."
Gin Tonica de Amora,"15 Amoras, 10 folhas de Hortelã, 2 colheres de sopa de Açúcar, 1 Limão espremido, Macerar, 3 pedras de Gelo, 2 doses de Gin, Água Tônica até completar e depois misture bem, Decorar com:, 1 rodela de Limão, 1 ramo de Hortelã na borda, 2 Amoras no palito","Coloque todos os ingredientes numa coqueteleira e bata por alguns minutos."
